"Url","Action","Name","Type","Label"
"https://ecom-demo.workdo.io/deliveryboy","https://ecom-demo.workdo.io/deliveryboy/24","_method","hidden",""
"https://ecom-demo.workdo.io/deliveryboy","https://ecom-demo.workdo.io/deliveryboy/24","_token","hidden",""
"https://ecom-demo.workdo.io/faqs","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/flash-sale","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/menus","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/theme-enable","_token","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/theme-enable","name","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/theme-enable","_token","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/theme-enable","name","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/theme-enable","_token","hidden",""
"https://ecom-demo.workdo.io/modules/list","https://ecom-demo.workdo.io/theme-enable","name","hidden",""
"https://ecom-demo.workdo.io/newsletter","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-country-reports","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-downloadable-reports","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-reports","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IjRSeE5VYzh0Z01CdEx4Q3pxd0ZUMkE9PSIsInZhbHVlIjoic1kzQ2ptNkxMdjlhbHJjQVVRK2tqZz09IiwibWFjIjoiOTU4Njk3YWNkMjVlMzM3MmE2M2QzMmE1NWY2YzFlOWI2YjhlYTU4ZTczY2ZmNGFhYzg3Mjg1YzYxZmMyMDUxYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IjRSeE5VYzh0Z01CdEx4Q3pxd0ZUMkE9PSIsInZhbHVlIjoic1kzQ2ptNkxMdjlhbHJjQVVRK2tqZz09IiwibWFjIjoiOTU4Njk3YWNkMjVlMzM3MmE2M2QzMmE1NWY2YzFlOWI2YjhlYTU4ZTczY2ZmNGFhYzg3Mjg1YzYxZmMyMDUxYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IjRSeE5VYzh0Z01CdEx4Q3pxd0ZUMkE9PSIsInZhbHVlIjoic1kzQ2ptNkxMdjlhbHJjQVVRK2tqZz09IiwibWFjIjoiOTU4Njk3YWNkMjVlMzM3MmE2M2QzMmE1NWY2YzFlOWI2YjhlYTU4ZTczY2ZmNGFhYzg3Mjg1YzYxZmMyMDUxYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","order_id","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IjRSeE5VYzh0Z01CdEx4Q3pxd0ZUMkE9PSIsInZhbHVlIjoic1kzQ2ptNkxMdjlhbHJjQVVRK2tqZz09IiwibWFjIjoiOTU4Njk3YWNkMjVlMzM3MmE2M2QzMmE1NWY2YzFlOWI2YjhlYTU4ZTczY2ZmNGFhYzg3Mjg1YzYxZmMyMDUxYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","","submit","标记"
"https://ecom-demo.workdo.io/order-view/eyJpdiI6Ik5EM1Q3TzJDeXpGa0Y3Mmd6Nm9lcUE9PSIsInZhbHVlIjoieC8yNmpEc3BqbFZSNklhODFaeHNuZz09IiwibWFjIjoiNTAwNWUxNGI2ODY3NzNjMWQxOGFiNzA2YjU2NTk3YmEzM2YxYmU2MmUxYmQwY2FhZjhhMjAyODAwY2FjODFmMCIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6Ik5EM1Q3TzJDeXpGa0Y3Mmd6Nm9lcUE9PSIsInZhbHVlIjoieC8yNmpEc3BqbFZSNklhODFaeHNuZz09IiwibWFjIjoiNTAwNWUxNGI2ODY3NzNjMWQxOGFiNzA2YjU2NTk3YmEzM2YxYmU2MmUxYmQwY2FhZjhhMjAyODAwY2FjODFmMCIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6Ik5EM1Q3TzJDeXpGa0Y3Mmd6Nm9lcUE9PSIsInZhbHVlIjoieC8yNmpEc3BqbFZSNklhODFaeHNuZz09IiwibWFjIjoiNTAwNWUxNGI2ODY3NzNjMWQxOGFiNzA2YjU2NTk3YmEzM2YxYmU2MmUxYmQwY2FhZjhhMjAyODAwY2FjODFmMCIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","order_id","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6Ik5EM1Q3TzJDeXpGa0Y3Mmd6Nm9lcUE9PSIsInZhbHVlIjoieC8yNmpEc3BqbFZSNklhODFaeHNuZz09IiwibWFjIjoiNTAwNWUxNGI2ODY3NzNjMWQxOGFiNzA2YjU2NTk3YmEzM2YxYmU2MmUxYmQwY2FhZjhhMjAyODAwY2FjODFmMCIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","","submit","标记"
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IlBiZEtuSWVXL3ltb1hHeWhxeEN4N2c9PSIsInZhbHVlIjoiZEszT2RSNnBCOXNBQXdrRVA3eVJWUT09IiwibWFjIjoiYTI0ZDc3N2IzZjY3NDAwOGUzMjJlM2VhNmQzNWVjMGM2MWQ4OWQ5ZDAzYTJiZDEzNmFmZDFhNjJlY2IxMzJlYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/logout","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IlBiZEtuSWVXL3ltb1hHeWhxeEN4N2c9PSIsInZhbHVlIjoiZEszT2RSNnBCOXNBQXdrRVA3eVJWUT09IiwibWFjIjoiYTI0ZDc3N2IzZjY3NDAwOGUzMjJlM2VhNmQzNWVjMGM2MWQ4OWQ5ZDAzYTJiZDEzNmFmZDFhNjJlY2IxMzJlYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","_token","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IlBiZEtuSWVXL3ltb1hHeWhxeEN4N2c9PSIsInZhbHVlIjoiZEszT2RSNnBCOXNBQXdrRVA3eVJWUT09IiwibWFjIjoiYTI0ZDc3N2IzZjY3NDAwOGUzMjJlM2VhNmQzNWVjMGM2MWQ4OWQ5ZDAzYTJiZDEzNmFmZDFhNjJlY2IxMzJlYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","order_id","hidden",""
"https://ecom-demo.workdo.io/order-view/eyJpdiI6IlBiZEtuSWVXL3ltb1hHeWhxeEN4N2c9PSIsInZhbHVlIjoiZEszT2RSNnBCOXNBQXdrRVA3eVJWUT09IiwibWFjIjoiYTI0ZDc3N2IzZjY3NDAwOGUzMjJlM2VhNmQzNWVjMGM2MWQ4OWQ5ZDAzYTJiZDEzNmFmZDFhNjJlY2IxMzJlYSIsInRhZyI6IiJ9","https://ecom-demo.workdo.io/order-note","","submit","标记"
